"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 1.87154660151143689e+04, 1.87154660151143944e+04, 1.36068488110721354e-15, 3.50268668162899971e+08,-1.34872573664435717e-15
   1, 1.30573367743984718e+01, 1.30573367743984790e+01, 5.44171256387643888e-16, 1.70494043604456550e+02,-1.04408747447047574e-10
   2, 1.00014708058965756e+01, 1.00014708058965631e+01,-1.24326692714742874e-15, 1.00029418225933497e+02,-2.76258724968947532e-10
   3, 7.89380966160572672e+00, 7.89380966160572051e+00,-7.87610698056303156e-16, 6.23122310239111670e+01, 4.03221392654323871e-10
   4, 6.99048684838974310e+00, 6.99048684838974221e+00,-1.27055302293389896e-16, 4.88669064287090507e+01, 5.23862581829735535e-10
   5, 6.31422129411963073e+00, 6.31422129411963162e+00, 1.40663175762825520e-16, 3.98693905960769754e+01, 5.63881094166331023e-10
   6, 5.85158566261460145e+00, 5.85158566261460322e+00, 3.03568458503355471e-16, 3.42410547910399004e+01, 3.52254570514157558e-10
   7, 5.56992247345439306e+00, 5.56992247345439662e+00, 6.37838981733107387e-16, 3.10240363633409366e+01, 4.91333974152157158e-11
   8, 5.11345792483820194e+00, 5.11345792483820549e+00, 6.94777141226387332e-16, 2.61474520063910312e+01, 1.09571710417259806e-09
   9, 4.81815792370406371e+00, 4.81815792370406459e+00, 1.84339831480101996e-16, 2.32146457525686607e+01,-5.42407446564622577e-10
  10, 4.67140401666847715e+00, 4.67140401666847627e+00,-1.90130936337540505e-16, 2.18220154828293218e+01,-9.43327209007137966e-11
  11, 4.45659357526401312e+00, 4.45659357526401134e+00,-3.98590719436429041e-16, 1.98612262950683238e+01,-4.06700425194650156e-13
  12, 4.34470282605691871e+00, 4.34470282605691960e+00, 2.04427887305286887e-16, 1.88764426446711298e+01,-5.49851028046674493e-11
  13, 4.08679144849932996e+00, 4.08679144849933174e+00, 4.34658059209879377e-16, 1.67018643364270751e+01,-2.12556402191958350e-10
  14, 4.02007606589947564e+00, 4.02007606589947297e+00,-6.62807174645884913e-16, 1.61610115741104785e+01,-4.66346636008782084e-11
  15, 3.85616556958816936e+00, 3.85616556958816847e+00,-2.30326837287482156e-16, 1.48700129018457439e+01, 5.94650870906385497e-11
  16, 3.75598237186514528e+00, 3.75598237186514305e+00,-5.91175844136798823e-16, 1.41074035834673239e+01, 2.02220112621112454e-10
  17, 3.64316529776145837e+00, 3.64316529776145659e+00,-4.87586122016404883e-16, 1.32726533868831886e+01, 2.63146468401507690e-12
  18, 3.52529910581355521e+00, 3.52529910581355654e+00, 3.77916196487597655e-16, 1.24277337857472254e+01, 1.19641073006947514e-11
  19, 3.47697331125574660e+00, 3.47697331125574749e+00, 2.55445854825773733e-16, 1.20893434071344732e+01,-2.07942392791256613e-12
  20, 3.44613749393454194e+00, 3.44613749393454372e+00, 5.15463135909919583e-16, 1.18758636266447137e+01,-1.92293953242778706e-11
  21, 3.37899219242083548e+00, 3.37899219242083815e+00, 7.88559164201975765e-16, 1.14175882362995136e+01,-6.19443012637880361e-12
  22, 3.33479825178542777e+00, 3.33479825178542955e+00, 5.32672955087823192e-16, 1.11208793768921268e+01,-1.44728595492687009e-10
  23, 3.19136819260723836e+00, 3.19136819260723925e+00, 2.78306471110910560e-16, 1.01848309332162135e+01,-3.71580924516201145e-10
  24, 3.15582953105005570e+00, 3.15582953105005526e+00,-1.40720278291552233e-16, 9.95926002904445440e+00,-1.58650982579836846e-13
  25, 3.06999918525979520e+00, 3.06999918525979520e+00, 0.00000000000000000e+00, 9.42489499571183309e+00,-9.46415460449182186e-11
  26, 2.99759957044726155e+00, 2.99759957044726022e+00,-4.44444829351041295e-16, 8.98560318388558343e+00,-4.78556375820057389e-11
  27, 2.97461180885118637e+00, 2.97461180885118637e+00, 0.00000000000000000e+00, 8.84831541308014025e+00,-1.56406414373546946e-11
  28, 2.92952281496256051e+00, 2.92952281496256095e+00, 1.51590971601884625e-16, 8.58210392328866334e+00,-5.68049431177026186e-12
  29, 2.89880592249080715e+00, 2.89880592249080582e+00,-4.59591868228775087e-16, 8.40307577427011054e+00,-1.18865338879206155e-10
  30, 2.85819761047833598e+00, 2.85819761047833776e+00, 6.21495460246699606e-16, 8.16929358057597454e+00, 1.95273471518944253e-12
  31, 2.80276317125235286e+00, 2.80276317125235197e+00,-3.16893852755765415e-16, 7.85548139418457048e+00, 3.56595840299607399e-12
  32, 2.76277265865905663e+00, 2.76277265865905619e+00,-1.60740409985672293e-16, 7.63291276374680283e+00, 2.04882836988854961e-11
  33, 2.72974902688209609e+00, 2.72974902688209653e+00, 1.62684996121163125e-16, 7.45152975132887807e+00, 1.05020551832379890e-10
  34, 2.68143612731400793e+00, 2.68143612731400705e+00,-3.31232361141420410e-16, 7.19009970490165795e+00, 2.56695941882450188e-12
  35, 2.65621679578876968e+00, 2.65621679578876835e+00,-5.01565847961806866e-16, 7.05548766631286561e+00, 5.84701219939153634e-12
  36, 2.60773421778988368e+00, 2.60773421778988368e+00, 0.00000000000000000e+00, 6.80027775082043728e+00, 1.38391992535264376e-11
  37, 2.57698178694901703e+00, 2.57698178694901703e+00, 0.00000000000000000e+00, 6.64083513031824513e+00, 3.86217530410972684e-12
  38, 2.54989956812514018e+00, 2.54989956812514018e+00, 0.00000000000000000e+00, 6.50198780755728212e+00, 2.49967443172547581e-12
  39, 2.53442591010385154e+00, 2.53442591010385243e+00, 3.50445604331645629e-16, 6.42331469422332724e+00, 3.25058849051331903e-11
  40, 2.50319676132748947e+00, 2.50319676132748947e+00, 0.00000000000000000e+00, 6.26599402838104247e+00, 1.96346354956960935e-10
  41, 2.48209036889500956e+00, 2.48209036889500778e+00,-7.15669687800713972e-16, 6.16077260093201495e+00, 1.27471863054399755e-10
  42, 2.46430404459619723e+00, 2.46430404459619723e+00, 0.00000000000000000e+00, 6.07279442470833786e+00, 4.07688288527805627e-11
  43, 2.43822839422327364e+00, 2.43822839422327364e+00, 0.00000000000000000e+00, 5.94495770250987121e+00, 9.52636747411500952e-12
  44, 2.40948826950928963e+00, 2.40948826950928829e+00,-5.52925551209059902e-16, 5.80563372121228038e+00, 2.66473289977110176e-11
  45, 2.38129092945409937e+00, 2.38129092945409893e+00,-1.86490950919578795e-16, 5.67054649082270767e+00, 1.07872507100619735e-11
  46, 2.35739045982764139e+00, 2.35739045982764139e+00, 0.00000000000000000e+00, 5.55728978041666632e+00, 2.97166251150585654e-11
  47, 2.32675257323271500e+00, 2.32675257323271412e+00,-3.81724481544730290e-16, 5.41377753709716103e+00, 4.81181853947229396e-12
  48, 2.31101713959985178e+00, 2.31101713959985222e+00, 1.92161798474136725e-16, 5.34080021957151097e+00, 4.42163763463670585e-12
  49, 2.27764380579635617e+00, 2.27764380579635661e+00, 1.94977462551389202e-16, 5.18766130564814354e+00,-4.18652886664620377e-11
  50, 2.25590902481419464e+00, 2.25590902481419464e+00, 0.00000000000000000e+00, 5.08912552747290459e+00,-7.51824711691230860e-11
  51, 2.22786985842114449e+00, 2.22786985842114449e+00, 0.00000000000000000e+00, 4.96340410597782089e+00,-8.42461110166715898e-12
  52, 2.22020438006700394e+00, 2.22020438006700394e+00, 0.00000000000000000e+00, 4.92930748859896539e+00,-6.79348844327460479e-11
  53, 2.20983462545664455e+00, 2.20983462545664455e+00, 0.00000000000000000e+00, 4.88336907183631297e+00,-3.15310410661421851e-12
  54, 2.18847050628599682e+00, 2.18847050628599638e+00,-2.02922181758673204e-16, 4.78940315498546987e+00,-1.98168468368850651e-10
  55, 2.16990297493433948e+00, 2.16990297493434037e+00, 4.09317112313282674e-16, 4.70847892012902847e+00,-5.30817115099545469e-11
  56, 2.16373905889243279e+00, 2.16373905889243323e+00, 2.05241573851045354e-16, 4.68176671499345876e+00, 1.78864463935390568e-12
  57, 2.12444175373894639e+00, 2.12444175373894772e+00, 6.27114218220123665e-16, 4.51325276498238637e+00,-5.20952222212476065e-12
  58, 2.10074508132590010e+00, 2.10074508132590010e+00, 0.00000000000000000e+00, 4.41312989429141300e+00,-2.74583988579864254e-10
  59, 2.09027927930788815e+00, 2.09027927930788859e+00, 2.12454485984812940e-16, 4.36926746551807899e+00, 1.62209186776980252e-12
  60, 2.08756895787000429e+00, 2.08756895787000429e+00, 0.00000000000000000e+00, 4.35794415300494542e+00,-9.83847327116503471e-11
  61, 2.06956912639190582e+00, 2.06956912639190627e+00, 2.14580515425589734e-16, 4.28311636864219647e+00,-3.17945816808042052e-11
  62, 2.05144887262316367e+00, 2.05144887262316322e+00,-2.16475884813161802e-16, 4.20844247701869012e+00, 3.78298331301954408e-12
  63, 2.03792277461214510e+00, 2.03792277461214599e+00, 4.35825356468260791e-16, 4.15312923459548688e+00,-8.27541177609142641e-11
  64, 2.03182571576465065e+00, 2.03182571576465154e+00, 4.37133171811378058e-16, 4.12831573887350878e+00,-4.46945182941345780e-11
  65, 2.01214455842219087e+00, 2.01214455842219175e+00, 4.41408852054140758e-16, 4.04872572351101923e+00,-5.89091822084958949e-11
  66, 1.99760205410690905e+00, 1.99760205410690972e+00, 3.33466724969358343e-16, 3.99041396659093506e+00, 2.35472485672602359e-12
  67, 1.99172937267481931e+00, 1.99172937267481864e+00,-3.34449962888532746e-16, 3.96698589239471033e+00,-1.99259459456048936e-10
  68, 1.98222069626241648e+00, 1.98222069626241715e+00, 3.36054313241267729e-16, 3.92919888867460632e+00,-2.09366623079063801e-12
  69, 1.96789323618110612e+00, 1.96789323618110479e+00,-6.77001986213229022e-16, 3.87260378692192875e+00,-2.69252688897585664e-10
  70, 1.95756857056120781e+00, 1.95756857056120848e+00, 3.40286324981261106e-16, 3.83207470847304377e+00, 3.13059209711813184e-12
  71, 1.95496322417071955e+00, 1.95496322417071888e+00,-3.40739818805370518e-16, 3.82188120783702256e+00,-3.00277397902080862e-12
  72, 1.94721378037530757e+00, 1.94721378037530801e+00, 2.28063921037200394e-16, 3.79164150644397280e+00,-5.21195614611545790e-12
  73, 1.93104693346966494e+00, 1.93104693346966427e+00,-3.44959929885390486e-16, 3.72894225717767380e+00,-2.79559540257888108e-10
  74, 1.91043656622191182e+00, 1.91043656622191249e+00, 3.48681461898755022e-16, 3.64976787274711700e+00,-1.11055320519213344e-10
  75, 1.89307760726636798e+00, 1.89307760726636731e+00,-3.51878767261423049e-16, 3.58374282707439518e+00,-8.22628562197288807e-12
  76, 1.88289090733083841e+00, 1.88289090733083819e+00,-1.17927493335128397e-16, 3.54527816814798458e+00,-1.07348890866341943e-10
  77, 1.86856600978575083e+00, 1.86856600978575083e+00, 0.00000000000000000e+00, 3.49153892546681321e+00,-1.06827241260400883e-09
  78, 1.85174339423744772e+00, 1.85174339423744838e+00, 3.59733328520612542e-16, 3.42895359777319753e+00,-4.79484741957571285e-11
