"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 1.87158039213044457e+07, 1.87158039213044494e+07, 1.99045166006540982e-16, 3.50281316420716000e+14, 1.61753354387053787e-15
   1, 1.30572716833817335e+01, 1.30572716833817370e+01, 2.72086984551459931e-16, 1.70496269537149090e+02, 1.15128363563234499e-05
   2, 1.00014677333915216e+01, 1.00014677333915323e+01, 1.06565769350208179e-15, 1.00041220652579597e+02, 5.92999851878517712e-05
   3, 7.89381023132557225e+00, 7.89381023132556869e+00,-4.50063223549764714e-16, 6.23518948588687394e+01, 3.18144426526309383e-04
   4, 6.99050320562347327e+00, 6.99050320562347238e+00,-1.27055004993865793e-16, 4.88437016575179470e+01,-2.39795316724701284e-04
   5, 6.31418239530349279e+00, 6.31418239530349190e+00,-1.40664042324902575e-16, 3.98420813704284527e+01,-3.36383277475024223e-04
   6, 5.85158963992681347e+00, 5.85158963992681169e+00,-3.03568252168562451e-16, 3.42650229710030985e+01, 3.49251037261962223e-04
   7, 5.56990197563187195e+00, 5.56990197563187284e+00, 1.59460332261837826e-16, 3.10290533461546261e+01, 8.45335670907066996e-05
   8, 5.11346277774500102e+00, 5.11346277774500368e+00, 5.21082361388658800e-16, 2.61878387544320717e+01, 7.71041739802101591e-04
   9, 4.81815786952692626e+00, 4.81815786952692537e+00,-1.84339833552886794e-16, 2.32019130321027092e+01,-2.74265871564170085e-04
  10, 4.67140392456978404e+00, 4.67140392456978226e+00,-3.80261880172103763e-16, 2.18506403287314015e+01, 6.55675500750390627e-04
  11, 4.45659411069494116e+00, 4.45659411069494471e+00, 7.97181343096669578e-16, 1.98451484411864314e+01,-4.04956854993321317e-04
  12, 4.34470106533749600e+00, 4.34470106533749600e+00, 0.00000000000000000e+00, 1.88909893588745206e+01, 3.85645125502220930e-04
  13, 4.08678905671515746e+00, 4.08678905671515658e+00,-2.17329156796269121e-16, 1.66656538971172878e+01,-1.08402766342702649e-03
  14, 4.02007054018843935e+00, 4.02007054018843757e+00,-4.41872057129869264e-16, 1.61530734649591885e+01,-2.44250458374376023e-04
  15, 3.85615409233376649e+00, 3.85615409233376782e+00, 3.45491284230265774e-16, 1.49078512766693656e+01, 1.27447654716024021e-03
  16, 3.75598747736267624e+00, 3.75598747736267624e+00, 0.00000000000000000e+00, 1.40955091819703426e+01,-4.23013349402177758e-04
