"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.91845693639945835e+07, 5.91845693639946282e+07, 7.55323288856076367e-16, 3.50281325080148350e+15,-3.87742456551442849e-16
   1, 1.30572716365934109e+01, 1.30572716365933896e+01,-1.63252191315860048e-15, 1.71440433981652291e+02, 2.77659678584907992e-03
   2, 1.00014677304516972e+01, 1.00014677304516937e+01,-3.55219231271773486e-16, 9.95389852465038132e+01,-2.45414943375299732e-03
   3, 7.89381023128979908e+00, 7.89381023128980175e+00, 3.37547417663853232e-16, 6.30715690989563527e+01, 6.07448751286702812e-03
   4, 6.99050321652952089e+00, 6.99050321652951823e+00,-3.81165014386932922e-16, 4.93365670676606598e+01, 4.79166471836320499e-03
   5, 6.31418236848843062e+00, 6.31418236848843240e+00, 2.81328085844548925e-16, 4.05542751388866947e+01, 8.55874743097955369e-03
   6, 5.85158964249841507e+00, 5.85158964249841862e+00, 6.07136504070306260e-16, 3.48851951988049578e+01, 9.36145520154936253e-03
   7, 5.56990196147989014e+00, 5.56990196147988836e+00,-3.18920665333987839e-16, 2.98876393476496993e+01,-1.84820283334027143e-02
   8, 5.11346278095960383e+00, 5.11346278095960294e+00,-1.73694120353692628e-16, 2.61173856684087760e+01,-5.76051604567429380e-04
   9, 4.81815786940494295e+00, 4.81815786940494739e+00, 9.21699167787769011e-16, 2.26688548518747837e+01,-1.18252214616955967e-02
  10, 4.67140392443899621e+00, 4.67140392443899799e+00, 3.80261880182750161e-16, 2.16929362016773268e+01,-2.96191412499418680e-03
  11, 4.45659411099574942e+00, 4.45659411099575120e+00, 3.98590671521430977e-16, 1.98451455483064905e+01,-4.05029779276752423e-04
  12, 4.34470106407400003e+00, 4.34470106407399914e+00,-2.04427970210517930e-16, 1.78805591956715766e+01,-2.67360257669061149e-02
  13, 4.08678905503291023e+00, 4.08678905503290846e+00,-4.34658313771456882e-16, 1.60817172197821741e+01,-1.87402409861422476e-02
  14, 4.02007053636493872e+00, 4.02007053636493872e+00, 0.00000000000000000e+00, 1.59223799761541169e+01,-7.40903300743374077e-03
  15, 3.85615408443640417e+00, 3.85615408443640240e+00,-4.60655046583770972e-16, 1.43697389823238968e+01,-1.69625556799016623e-02
  16, 3.75598748082147615e+00, 3.75598748082147704e+00, 2.36470016003852801e-16, 1.32467971316337607e+01,-3.09831998030822256e-02
  17, 3.64316849300132573e+00, 3.64316849300132439e+00,-3.65689270784353768e-16, 1.28887540645088627e+01,-1.45690211483560246e-02
  18, 3.52529822869730980e+00, 3.52529822869731246e+00, 7.55832581031021422e-16, 1.21830141413061135e+01,-9.89441251466769079e-03
  19, 3.47697352179153052e+00, 3.47697352179153185e+00, 3.83168759037235729e-16, 1.18441035434673267e+01,-1.01948382294706040e-02
  20, 3.44613749214440945e+00, 3.44613749214441034e+00, 2.57731568088841174e-16, 1.12273770473453087e+01,-2.76859683964031513e-02
  21, 3.37899216237607636e+00, 3.37899216237607858e+00, 6.57132642677962219e-16, 1.10424617360461710e+01,-1.65647587876072037e-02
  22, 3.33479427771537296e+00, 3.33479427771537207e+00,-2.66336794936749585e-16, 1.06037339308683816e+01,-2.35267211639342187e-02
  23, 3.19137396919112337e+00, 3.19137396919112248e+00,-2.78305967359018230e-16, 9.93522963774792700e+00,-1.23313782052011757e-02
  24, 3.15583006374713548e+00, 3.15583006374713548e+00, 0.00000000000000000e+00, 9.56705311056936658e+00,-1.98885036688641154e-02
  25, 3.07000100919729357e+00, 3.07000100919729446e+00, 2.89308836394277048e-16, 9.50463785565763963e+00, 4.22093021531885171e-03
  26, 2.99760091370953230e+00, 2.99760091370953141e+00,-2.96296420126521810e-16, 8.92707220070410123e+00,-3.26269906918570403e-03
  27, 2.97461394991371364e+00, 2.97461394991371453e+00, 2.98586113914341436e-16, 8.85553709680542767e+00, 4.07279088975817005e-04
  28, 2.92952271688551713e+00, 2.92952271688551669e+00,-1.51590976676975598e-16, 8.68675151506441878e+00, 6.07840983362100845e-03
  29, 2.89881097488893902e+00, 2.89881097488894035e+00, 4.59591067196518560e-16, 8.55658020646950312e+00, 9.09072855707763444e-03
  30, 2.85819760025650949e+00, 2.85819760025650815e+00,-4.66121596852024240e-16, 7.86505518179670471e+00,-1.87975210580593322e-02
  31, 2.80276537341387444e+00, 2.80276537341387355e+00,-3.16893603769012694e-16, 7.82521788894966619e+00,-1.92890977622143198e-03
  32, 2.76276448504471794e+00, 2.76276448504471661e+00,-4.82222656604268548e-16, 7.61300325389018706e+00,-1.30208513603593194e-03
  33, 2.72974780219646851e+00, 2.72974780219646851e+00, 0.00000000000000000e+00, 7.07476055017176453e+00,-2.56088119721859553e-02
  34, 2.68143759507078849e+00, 2.68143759507078938e+00, 3.31232179832504290e-16, 6.84092018442219008e+00,-2.45846908128889930e-02
  35, 2.65621629379633895e+00, 2.65621629379634028e+00, 5.01565942751624916e-16, 6.52713143341079771e+00,-3.81712762916416008e-02
  36, 2.60773444825421619e+00, 2.60773444825421707e+00, 3.40593889954833604e-16, 6.48817149249350500e+00,-2.32176665820036416e-02
  37, 2.57698204957341348e+00, 2.57698204957341259e+00,-3.44658364945596670e-16, 6.43621405392976431e+00,-1.55269172427434496e-02
  38, 2.54989927951592765e+00, 2.54989927951592721e+00,-1.74159510305978995e-16, 6.24677822903955704e+00,-1.98218483270781568e-02
  39, 2.53442450160295785e+00, 2.53442450160295696e+00,-3.50445799091026538e-16, 6.23051649123235318e+00,-1.51214782416648206e-02
  40, 2.50319493414918348e+00, 2.50319493414918259e+00,-3.54817919924406598e-16, 6.02837862448910666e+00,-1.91432403862695943e-02
  41, 2.48209367225394795e+00, 2.48209367225394884e+00, 3.57834367666545475e-16, 5.98961731333631153e+00,-1.39898846496760916e-02
  42, 2.46430364142871472e+00, 2.46430364142871516e+00, 1.80208803162176738e-16, 5.72988465027449756e+00,-2.86433431602017921e-02
  43, 2.43822873768639381e+00, 2.43822873768639381e+00, 0.00000000000000000e+00, 5.58483912248022030e+00,-3.07609841312775323e-02
  44, 2.40948746737002217e+00, 2.40948746737002173e+00,-1.84308578427589869e-16, 5.52643024954769402e+00,-2.43418542673849219e-02
  45, 2.38129080526914638e+00, 2.38129080526914594e+00,-1.86490960645131811e-16, 5.43984421372039684e+00,-2.05533250579881321e-02
  46, 2.35738708194778201e+00, 2.35738708194778201e+00, 0.00000000000000000e+00, 5.32788759553322944e+00,-2.08558634728851999e-02
  47, 2.32675577012575863e+00, 2.32675577012575774e+00,-3.81723957066675783e-16, 5.14793322531964304e+00,-2.48629606300019267e-02
  48, 2.31101637165052320e+00, 2.31101637165052365e+00, 1.92161862329384972e-16, 5.06853090916776150e+00,-2.58226506961554610e-02
  49, 2.27764314975464277e+00, 2.27764314975464321e+00, 1.94977518711788438e-16, 5.06663190110114314e+00,-1.17336804012138501e-02
  50, 2.25590940999746525e+00, 2.25590940999746525e+00, 0.00000000000000000e+00, 4.84249776820965838e+00,-2.45319286226025029e-02
  51, 2.22786946803363151e+00, 2.22786946803363106e+00,-1.99333585841555564e-16, 4.80785131906633900e+00,-1.57945339251565692e-02
  52, 2.22020162014935707e+00, 2.22020162014935796e+00, 4.00044037279990737e-16, 4.72367644084708171e+00,-2.10789761833315359e-02
  53, 2.20983509481639206e+00, 2.20983509481639029e+00,-8.03841356111616155e-16, 4.69109315621812772e+00,-1.98847147160469671e-02
  54, 2.18847190404723291e+00, 2.18847190404723291e+00, 0.00000000000000000e+00, 4.68259307542548520e+00,-1.12141704668883446e-02
  55, 2.16990211621918183e+00, 2.16990211621918272e+00, 4.09317274296077198e-16, 4.61814549930210827e+00,-9.63869717753895630e-03
  56, 2.16374290721498319e+00, 2.16374290721498319e+00, 0.00000000000000000e+00, 4.59132544092725592e+00,-9.70774738897182565e-03
  57, 2.12444195069121911e+00, 2.12444195069121999e+00, 4.18076106721175902e-16, 4.37555337641942721e+00,-1.53732636763542903e-02
  58, 2.10074520089236172e+00, 2.10074520089236172e+00, 0.00000000000000000e+00, 4.37368844855923733e+00,-4.47873393436039310e-03
  59, 2.09028036721225652e+00, 2.09028036721225741e+00, 4.24908750822102316e-16, 4.30034089624419646e+00,-7.91952906641813301e-03
  60, 2.08756961620143366e+00, 2.08756961620143455e+00, 4.25460503356177974e-16, 4.21020579204680701e+00,-1.70969222849449875e-02
  61, 2.06956981343609447e+00, 2.06956981343609403e+00,-2.14580444190352747e-16, 4.16028333657975935e+00,-1.44438474091892044e-02
  62, 2.05144886108668656e+00, 2.05144886108668656e+00, 0.00000000000000000e+00, 4.02088579246934508e+00,-2.25373451856101546e-02
  63, 2.03792223448212928e+00, 2.03792223448212972e+00, 2.17912735989611125e-16, 3.97054366034888151e+00,-2.22284865511928796e-02
  64, 2.03182466081335278e+00, 2.03182466081335278e+00, 0.00000000000000000e+00, 3.96051891103823772e+00,-2.05329772650349334e-02
  65, 2.01214648238590676e+00, 2.01214648238590721e+00, 2.20704214995064841e-16, 3.84180615546165960e+00,-2.58897117423969050e-02
  66, 1.99760207479101837e+00, 1.99760207479101903e+00, 3.33466721516487384e-16, 3.82886594106909639e+00,-2.04511480046493323e-02
  67, 1.99172911086356175e+00, 1.99172911086356197e+00, 1.11483335617240923e-16, 3.82162753518199594e+00,-1.84918554997102949e-02
  68, 1.98222012973377648e+00, 1.98222012973377626e+00,-1.12018136429102438e-16, 3.81985002947728480e+00,-1.40128066110262963e-02
  69, 1.96789443473263326e+00, 1.96789443473263326e+00, 0.00000000000000000e+00, 3.79085978243178978e+00,-1.06110334009888384e-02
  70, 1.95756866858951062e+00, 1.95756866858951062e+00, 0.00000000000000000e+00, 3.78455147438856043e+00,-6.22011298675811728e-03
  71, 1.95496532640531484e+00, 1.95496532640531484e+00, 0.00000000000000000e+00, 3.70299912239665385e+00,-1.56767452561468535e-02
  72, 1.94721366357363723e+00, 1.94721366357363723e+00, 0.00000000000000000e+00, 3.51910693107341199e+00,-3.66089144424578747e-02
  73, 1.93104686123567926e+00, 1.93104686123567926e+00, 0.00000000000000000e+00, 3.50280042927819224e+00,-3.07967002189697167e-02
  74, 1.91043786276321170e+00, 1.91043786276321104e+00,-3.48681225261948003e-16, 3.49938229547260127e+00,-2.08194497791599137e-02
  75, 1.89307848132291490e+00, 1.89307848132291556e+00, 3.51878604794867499e-16, 3.46768245195682034e+00,-1.63263419855733950e-02
  76, 1.88289022486497171e+00, 1.88289022486497171e+00, 0.00000000000000000e+00, 3.41154208127137304e+00,-1.90421079309748194e-02
  77, 1.86856577291703085e+00, 1.86856577291703085e+00, 0.00000000000000000e+00, 3.31015285247188817e+00,-2.63213779201169856e-02
  78, 1.85174369020623075e+00, 1.85174369020623031e+00,-2.39822180682362097e-16, 3.26296970970244349e+00,-2.45036524663576254e-02
  79, 1.84397442565147629e+00, 1.84397442565147540e+00,-4.81665259205713624e-16, 3.19593553702761124e+00,-3.05082628984471354e-02
