"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 1.86829470667421162e+02, 1.86829470667421361e+02, 1.06488534866635887e-15, 3.49052511098680989e+04,-9.82218572401655273e-15
   1, 1.30314636868700724e+01, 1.30314636868700653e+01,-5.45251671518688790e-16, 1.69819045822216083e+02, 8.07507608544804215e-15
   2, 9.98967842990898802e+00, 9.98967842990900046e+00, 1.24473454906946780e-15, 9.97936751329910834e+01, 1.09188642545186936e-14
   3, 7.88759497064623982e+00, 7.88759497064623449e+00,-6.75626796004731269e-16, 6.22141544209655777e+01, 1.38299507551642310e-14
   4, 6.98467914326458050e+00, 6.98467914326457961e+00,-1.27160947766170127e-16, 4.87857427343462362e+01,-9.22204970327016148e-14
   5, 6.31530474668451092e+00, 6.31530474668451536e+00, 7.03195218066406412e-16, 3.98830740434910211e+01,-6.13475336781646584e-14
   6, 5.84901060223111191e+00, 5.84901060223111369e+00, 3.03702106254117077e-16, 3.42109250250126422e+01, 1.00519762072438116e-14
   7, 5.57018136765242122e+00, 5.57018136765241856e+00,-4.78357001905551316e-16, 3.10269204685424036e+01, 3.31696669143590539e-15
   8, 5.11142849729299975e+00, 5.11142849729299709e+00,-5.21289745227093985e-16, 2.61267012829375851e+01,-2.65718623714552888e-14
   9, 4.81693290424122722e+00, 4.81693290424122633e+00,-1.84386711909169275e-16, 2.32028426039618090e+01,-3.21236224654255846e-16
  10, 4.67043286237281485e+00, 4.67043286237281574e+00, 1.90170471532886122e-16, 2.18129431219323280e+01, 9.24815345839322567e-15
  11, 4.45558989799498661e+00, 4.45558989799498928e+00, 5.98020760460790013e-16, 1.98522813391149775e+01, 5.72324555909740442e-17
  12, 4.34403173495602068e+00, 4.34403173495601802e+00,-6.13378405516494612e-16, 1.88706117143052943e+01, 7.39578217107217404e-15
  13, 4.08637366030803229e+00, 4.08637366030803584e+00, 8.69404996735588816e-16, 1.66984496916602545e+01, 2.96095441741014493e-14
  14, 4.02002244979808143e+00, 4.02002244979808321e+00, 4.41877343120179268e-16, 1.61605804968808577e+01, 8.95977514115240448e-15
  15, 3.85669783858891124e+00, 3.85669783858890858e+00,-6.90885148543365265e-16, 1.48741182181765819e+01, 6.79662762829721408e-15
  16, 3.75496077558087249e+00, 3.75496077558087160e+00,-2.36534673138557286e-16, 1.40997304261503018e+01,-2.14771288796338515e-14
  17, 3.64238403716803383e+00, 3.64238403716803516e+00, 3.65768028839163960e-16, 1.32669614742164796e+01,-9.49365682926130804e-16
  18, 3.52501989454367726e+00, 3.52501989454367637e+00,-2.51964087089245258e-16, 1.24257652569283970e+01,-1.28996877506596240e-14
  19, 3.47656265608824189e+00, 3.47656265608824011e+00,-5.10952056707348780e-16, 1.20864879017068638e+01,-1.93361547797870261e-14
  20, 3.44571494962993441e+00, 3.44571494962993308e+00,-3.86644759948373492e-16, 1.18729515141026383e+01,-2.45580465115581413e-14
  21, 3.37870311122169875e+00, 3.37870311122169831e+00,-1.31437772195819021e-16, 1.14156347137791272e+01,-2.61258243679072299e-15
  22, 3.33486802786177128e+00, 3.33486802786177305e+00, 5.32661809870540288e-16, 1.11213447632537878e+01,-3.91970038495127501e-14
  23, 3.19049742891475807e+00, 3.19049742891475852e+00, 1.39191213829349099e-16, 1.01792738439109307e+01,-3.68898854612899231e-14
  24, 3.15548706772927057e+00, 3.15548706772927146e+00, 2.81471101175917652e-16, 9.95709863460667144e+00, 6.34272037073662092e-17
  25, 3.06953414268349523e+00, 3.06953414268349567e+00, 1.44676419680357142e-16, 9.42203985309960323e+00,-5.13650739813400789e-15
  26, 2.99721577633046854e+00, 2.99721577633046854e+00, 0.00000000000000000e+00, 8.98330240988419604e+00,-3.18248487426927910e-15
  27, 2.97417797486038449e+00, 2.97417797486038404e+00,-1.49314941339685396e-16, 8.84573462614459238e+00,-1.44029134090111572e-15
  28, 2.92929396713387957e+00, 2.92929396713387913e+00,-1.51602814477706565e-16, 8.58076314588692668e+00,-9.12429829712993710e-16
  29, 2.89808829012720803e+00, 2.89808829012720715e+00,-3.06470449063213229e-16, 8.39891573737195962e+00,-2.88549858913034958e-14
  30, 2.85795884283127810e+00, 2.85795884283127588e+00,-7.76934228713593445e-16, 8.16792874731721774e+00,-1.71660734679904105e-14
