"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.91842313997636884e+04, 5.91842313997637611e+04, 1.22937435227256790e-15, 3.50277324638077354e+09,-8.18182247142338891e-17
   1, 1.30572929276005230e+01, 1.30572929276005265e+01, 2.72086541865869462e-16, 1.70492898783055381e+02, 5.45150990529849025e-10
   2, 1.00014689667751462e+01, 1.00014689667751515e+01, 5.32828781042455838e-16, 1.00029381554088275e+02, 3.03520643550150651e-10
   3, 7.89381018579610849e+00, 7.89381018579611471e+00, 7.87610645754823544e-16, 6.23122392531488103e+01, 3.02542283117284426e-11
   4, 6.99049813558001976e+00, 6.99049813558002064e+00, 1.27055097143864808e-16, 4.88670640919848083e+01,-9.36857222475623999e-10
   5, 6.31419472963781381e+00, 6.31419472963780759e+00,-9.84646372833278448e-16, 3.98690553695250927e+01, 3.58347027462555605e-09
   6, 5.85158843243134186e+00, 5.85158843243133919e+00,-4.55352472216378719e-16, 3.42410875579320475e+01, 5.48124765726180169e-09
   7, 5.56990848208752887e+00, 5.56990848208753064e+00, 3.18920291978387255e-16, 3.10238805226181320e+01, 3.83374544627456414e-10
   8, 5.11346128018333079e+00, 5.11346128018333079e+00, 0.00000000000000000e+00, 2.61474865116169148e+01, 4.73626343144250646e-09
   9, 4.81815791339371913e+00, 4.81815791339372090e+00, 3.68679663749139189e-16, 2.32146457035181335e+01, 5.41029495240737354e-10
  10, 4.67140397499412430e+00, 4.67140397499412074e+00,-7.60523752134917756e-16, 2.18220151724376450e+01, 1.71493648798515323e-09
  11, 4.45659396245109196e+00, 4.45659396245108930e+00,-5.97886027210543108e-16, 1.98612297457950930e+01,-9.07375413635669620e-12
  12, 4.34470163932321540e+00, 4.34470163932321718e+00, 4.08855886287500706e-16, 1.88764322658442687e+01,-1.82485666372774303e-09
  13, 4.08678982567169147e+00, 4.08678982567169324e+00, 4.34658231808701892e-16, 1.67018508569160282e+01,-6.65487992312453808e-09
  14, 4.02007229684122258e+00, 4.02007229684122258e+00, 0.00000000000000000e+00, 1.61609812116864404e+01,-1.86077260496032348e-09
  15, 3.85615772704719539e+00, 3.85615772704719539e+00, 0.00000000000000000e+00, 1.48699522833035491e+01,-4.45738626991190308e-09
  16, 3.75598587761166325e+00, 3.75598587761166325e+00, 0.00000000000000000e+00, 1.41074297630157783e+01,-5.30934688895274665e-09
  17, 3.64316749343007551e+00, 3.64316749343007373e+00,-4.87585828157407678e-16, 1.32726693837773215e+01,-5.30510372139552046e-11
  18, 3.52529851385413862e+00, 3.52529851385413862e+00, 0.00000000000000000e+00, 1.24277295818734270e+01,-1.20330793648071447e-09
  19, 3.47697346376704264e+00, 3.47697346376704175e+00,-2.55445843621092767e-16, 1.20893444236169980e+01,-1.82487926900586800e-09
  20, 3.44613750193428903e+00, 3.44613750193429080e+00, 5.15463134713340887e-16, 1.18758636273416265e+01,-2.31125402563409908e-09
  21, 3.37899217823657105e+00, 3.37899217823657061e+00,-1.31426527918695556e-16, 1.14175881341359897e+01,-2.82368630060466857e-10
  22, 3.33479554061571770e+00, 3.33479554061571770e+00, 0.00000000000000000e+00, 1.11208612033419421e+01,-4.24286089478007238e-09
  23, 3.19137215026072107e+00, 3.19137215026072152e+00, 1.39153062990094239e-16, 1.01848560996245077e+01,-4.99934554936673031e-09
  24, 3.15582990173202038e+00, 3.15582990173201949e+00,-2.81440523525258605e-16, 9.95926236859773262e+00,-3.42398857499729431e-12
  25, 3.07000043902976039e+00, 3.07000043902975905e+00,-4.33963335188068008e-16, 9.42490267878221211e+00,-8.94476577877253129e-10
  26, 2.99760049470868539e+00, 2.99760049470868495e+00,-1.48148230771232362e-16, 8.98560871989973720e+00,-3.32644030569491188e-10
  27, 2.97461327815203846e+00, 2.97461327815203758e+00,-2.98586181344521198e-16, 8.84832415271054984e+00,-1.04419022450719779e-10
  28, 2.92952275308316334e+00, 2.92952275308316423e+00, 3.03181949607787056e-16, 8.58210356017983678e+00,-3.79930192948089051e-11
  29, 2.89880938304108726e+00, 2.89880938304108682e+00,-1.53197106525223417e-16, 8.40309581247747595e+00,-1.59045984700074707e-09
  30, 2.85819760873169226e+00, 2.85819760873169049e+00,-6.21495460626495299e-16, 8.16929356005808138e+00,-6.42741159134463244e-10
  31, 2.80276468188261640e+00, 2.80276468188261507e+00,-4.75340522935127034e-16, 7.85548986209076361e+00, 5.23198927052915979e-12
  32, 2.76276707171176295e+00, 2.76276707171176206e+00,-3.21481470079135251e-16, 7.63288189084620683e+00,-1.10612393203883177e-10
  33, 2.72974819388410639e+00, 2.72974819388410683e+00, 1.62685045765403215e-16, 7.45152519413804093e+00,-5.28448857175688038e-10
  34, 2.68143713487506297e+00, 2.68143713487506252e+00,-1.65616118339747765e-16, 7.19010510835903993e+00, 5.01058805185601192e-12
  35, 2.65621645573822063e+00, 2.65621645573822152e+00, 3.34377274781727467e-16, 7.05548585958514085e+00,-1.05856445792529141e-11
  36, 2.60773437833344390e+00, 2.60773437833344346e+00,-1.70296949543562039e-16, 6.80027858721388512e+00,-5.35439846570276178e-11
  37, 2.57698196995701823e+00, 2.57698196995701911e+00, 3.44658375593888715e-16, 6.64083607304759127e+00,-3.28244148356798833e-11
  38, 2.54989937355294582e+00, 2.54989937355294716e+00, 5.22478511649598942e-16, 6.50198681488141883e+00,-2.80134929307303932e-11
  39, 2.53442494967606269e+00, 2.53442494967606224e+00,-1.75222868567019055e-16, 6.42330982282685703e+00,-2.11235012351452825e-10
  40, 2.50319551506435767e+00, 2.50319551506435811e+00, 1.77408918791005820e-16, 6.26598776636279275e+00,-1.61790310070492667e-09
  41, 2.48209263197161745e+00, 2.48209263197161567e+00,-7.15669035280615175e-16, 6.16078381911895878e+00,-1.18238464390649291e-09
  42, 2.46430377194206640e+00, 2.46430377194206596e+00,-1.80208793618038888e-16, 6.07279307483144226e+00,-4.59134180682551477e-10
  43, 2.43822863181875871e+00, 2.43822863181875871e+00, 0.00000000000000000e+00, 5.94495885958626413e+00,-1.20649436418055691e-10
  44, 2.40948772345452955e+00, 2.40948772345452866e+00,-3.68617117677913090e-16, 5.80563108540107997e+00,-3.51125608902989358e-10
  45, 2.38129084665714608e+00, 2.38129084665714608e+00, 0.00000000000000000e+00, 5.67054609368693718e+00,-2.36852885070149883e-10
  46, 2.35738815210411667e+00, 2.35738815210411667e+00, 0.00000000000000000e+00, 5.55727888954704596e+00,-9.11760607680962937e-10
  47, 2.32675476235388468e+00, 2.32675476235388645e+00, 7.63448244800488273e-16, 5.41378772469011338e+00, 5.11315786369339066e-11
  48, 2.31101661621774879e+00, 2.31101661621774879e+00, 0.00000000000000000e+00, 5.34079779088751927e+00,-8.93781666848196901e-10
  49, 2.27764335938851348e+00, 2.27764335938851303e+00,-1.94977500766093920e-16, 5.18765919981237200e+00,-7.01223977866379381e-09
  50, 2.25590929023150055e+00, 2.25590929023150055e+00, 0.00000000000000000e+00, 5.08912667757821602e+00,-4.73308872877174612e-09
  51, 2.22786959279646357e+00, 2.22786959279646313e+00,-1.99333574678683745e-16, 4.96340292353685264e+00, 1.03736513775272121e-10
  52, 2.22020249456185104e+00, 2.22020249456185104e+00, 0.00000000000000000e+00, 4.92929909764093210e+00,-1.94933738460618263e-09
  53, 2.20983494826423721e+00, 2.20983494826423810e+00, 4.01920704710441943e-16, 4.88337049103395771e+00,-7.71602957489746661e-10
  54, 2.18847146398632564e+00, 2.18847146398632564e+00, 0.00000000000000000e+00, 4.78940730330319564e+00,-4.73746045780982806e-09
  55, 2.16990238924254886e+00, 2.16990238924254797e+00,-4.09317222794599084e-16, 4.70847636879213205e+00,-1.06705324142010030e-09
  56, 2.16374169325874188e+00, 2.16374169325874099e+00,-4.10482647936809978e-16, 4.68177811151278878e+00,-3.88038324713985995e-10
  57, 2.12444189000017580e+00, 2.12444189000017536e+00,-2.09038059332385819e-16, 4.51325334273114542e+00,-1.39187139425202747e-10
  58, 2.10074516483333396e+00, 2.10074516483333396e+00, 0.00000000000000000e+00, 4.41313020861427496e+00,-4.41368760813779626e-09
  59, 2.09028002467749952e+00, 2.09028002467749952e+00, 0.00000000000000000e+00, 4.36927058168230875e+00, 1.33364102369676298e-11
  60, 2.08756940987435335e+00, 2.08756940987435247e+00,-4.25460545407006574e-16, 4.35794602806754838e+00,-1.48872971541062098e-09
  61, 2.06956959793623652e+00, 2.06956959793623652e+00, 0.00000000000000000e+00, 4.28311831948817368e+00,-1.41693726469809878e-10
  62, 2.05144886605993504e+00, 2.05144886605993504e+00, 0.00000000000000000e+00, 4.20844244992020400e+00,-1.64418658790757773e-11
  63, 2.03792240629958510e+00, 2.03792240629958510e+00, 0.00000000000000000e+00, 4.15312772371860550e+00,-1.24957458269386687e-09
  64, 2.03182499563956220e+00, 2.03182499563956354e+00, 6.55699990112006137e-16, 4.12831280696757918e+00,-7.19195474523468415e-10
  65, 2.01214587599555550e+00, 2.01214587599555461e+00,-4.41408563015183236e-16, 4.04873101798402324e+00,-1.02524693797595544e-09
  66, 1.99760206931306827e+00, 1.99760206931306761e+00,-3.33466722430940811e-16, 3.99041402719312810e+00,-1.63797946034271767e-11
  67, 1.99172919488734679e+00, 1.99172919488734701e+00, 1.11483330914165901e-16, 3.96698516460486816e+00,-2.66723084593765389e-09
  68, 1.98222031034549984e+00, 1.98222031034549939e+00,-2.24036252444945500e-16, 3.92919735763272415e+00,-1.41693764805601998e-10
  69, 1.96789405711984755e+00, 1.96789405711984755e+00, 0.00000000000000000e+00, 3.87260699263051178e+00,-3.53987661817612378e-09
  70, 1.95756863884190424e+00, 1.95756863884190402e+00,-1.13428771037317336e-16, 3.83207497515792728e+00,-8.08202405792491469e-11
  71, 1.95496466334016983e+00, 1.95496466334016938e+00,-2.27159711977254157e-16, 3.82188683382376304e+00,-1.41943045632858631e-10
  72, 1.94721370149266670e+00, 1.94721370149266670e+00, 0.00000000000000000e+00, 3.79164119743726369e+00,-2.43101645064577942e-10
  73, 1.93104688516774159e+00, 1.93104688516774137e+00,-1.14986646171329634e-16, 3.72894204708022947e+00,-3.43741026866405206e-09
  74, 1.91043745399471754e+00, 1.91043745399471709e+00,-2.32454199911896486e-16, 3.64977125456815754e+00,-1.51484300693299481e-09
  75, 1.89307820595608289e+00, 1.89307820595608289e+00, 0.00000000000000000e+00, 3.58374509267636787e+00,-1.65962352037921458e-10
  76, 1.88289044192135480e+00, 1.88289044192135480e+00, 0.00000000000000000e+00, 3.54527640728784954e+00,-1.26801752075880301e-09
  77, 1.86856584894063693e+00, 1.86856584894063760e+00, 3.56494696268130577e-16, 3.49153823076129255e+00,-1.44729832197970317e-08
  78, 1.85174359762368601e+00, 1.85174359762368690e+00, 4.79644385345741654e-16, 3.42895434322344883e+00,-1.18357696041980393e-09
  79, 1.84397448032384981e+00, 1.84397448032385092e+00, 6.02081556155903277e-16, 3.40024188431613927e+00, 3.38986639479296690e-11
  80, 1.84158611664060201e+00, 1.84158611664060134e+00,-3.61717439524493572e-16, 3.39143942406720900e+00,-1.38024579179700993e-10
  81, 1.82939560612720875e+00, 1.82939560612720853e+00,-1.21375936501287971e-16, 3.34668827079750164e+00,-1.93027177504368475e-09
  82, 1.81843255395817383e+00, 1.81843255395817383e+00, 0.00000000000000000e+00, 3.30669693244099649e+00,-3.15327509488900100e-09
  83, 1.80483900232686434e+00, 1.80483900232686434e+00, 0.00000000000000000e+00, 3.25744382297647395e+00,-2.06259439171784991e-10
  84, 1.79290810341056961e+00, 1.79290810341056939e+00,-1.23846060209469576e-16, 3.21451946304930170e+00,-6.57327497364774314e-10
  85, 1.78896747422294311e+00, 1.78896747422294333e+00, 1.24118860809070173e-16, 3.20040461217755690e+00,-1.82009169254206950e-09
  86, 1.78264326761713798e+00, 1.78264326761713798e+00, 0.00000000000000000e+00, 3.17781700380257748e+00,-2.48254217828409295e-09
  87, 1.76075126642934965e+00, 1.76075126642934965e+00, 0.00000000000000000e+00, 3.10024499907126438e+00,-3.73539738359514059e-09
  88, 1.75449434193927001e+00, 1.75449434193927045e+00, 2.53115213446173827e-16, 3.07825039508774578e+00,-1.31432830608635839e-10
  89, 1.75137331618424685e+00, 1.75137331618424663e+00,-1.26783138051231970e-16, 3.06730845203023383e+00,-6.62013167225685280e-09
  90, 1.74290349806065281e+00, 1.74290349806065281e+00, 0.00000000000000000e+00, 3.03771260138052224e+00,-3.57429758108307256e-10
  91, 1.73327720544544395e+00, 1.73327720544544328e+00,-3.84320414923994066e-16, 3.00424987101574459e+00, 1.64728116203290533e-11
