"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.91845663190329727e+06, 5.91845663190328889e+06,-1.41623123946821886e-15, 3.50281289037202930e+13, 2.44659478771413981e-15
   1, 1.30572718313192677e+01, 1.30572718313192624e+01,-4.08130472203113967e-16, 1.70491422220588021e+02,-2.71407381062117872e-06
   2, 1.00014677426805338e+01, 1.00014677426805410e+01, 7.10438461674890881e-16, 1.00020225576025766e+02,-4.56448013492729586e-05
   3, 7.89381023143486527e+00, 7.89381023143486793e+00, 3.37547417657650054e-16, 6.23123270646280076e+01, 6.98857013126191005e-07
   4, 6.99050317113291353e+00, 6.99050317113291531e+00, 2.54110011241489187e-16, 4.88662895387955061e+01,-8.64640912860909061e-06
   5, 6.31418248009844962e+00, 6.31418248009845762e+00, 1.26597636392296540e-15, 3.98661233321802442e+01,-3.48280004617918954e-05
   6, 5.85158963179334002e+00, 5.85158963179333824e+00,-3.03568252590510071e-16, 3.42381587296253187e+01,-4.29681347743721452e-05
   7, 5.56990202038326743e+00, 5.56990202038326654e+00,-1.59460330980653279e-16, 3.10237829846138524e+01,-4.11491403310503405e-07
   8, 5.11346276757857154e+00, 5.11346276757857154e+00, 0.00000000000000000e+00, 2.61462151964850911e+01,-2.45968959568068887e-05
   9, 4.81815786991190365e+00, 4.81815786991190453e+00, 1.84339833538157790e-16, 2.32163079706214077e+01, 3.58110459504280192e-05
  10, 4.67140392498275858e+00, 4.67140392498275947e+00, 1.90130940069243393e-16, 2.18219798296319389e+01,-7.97376567827958832e-07
  11, 4.45659410974310966e+00, 4.45659410974311498e+00, 1.19577201490039524e-15, 1.98612462573579265e+01, 3.82613695839877500e-07
  12, 4.34470106933249589e+00, 4.34470106933249856e+00, 6.13283909889281572e-16, 1.88772351038904311e+01, 2.13947632870325988e-05
  13, 4.08678906203448555e+00, 4.08678906203448644e+00, 2.17329156513395434e-16, 1.67044389765991959e+01, 7.76572389693374678e-05
  14, 4.02007055227903631e+00, 4.02007055227903454e+00,-4.41872055800913246e-16, 1.61616870832847646e+01, 2.22706338434968913e-05
  15, 3.85615411730704372e+00, 3.85615411730704283e+00,-2.30327521328526978e-16, 1.48716754900506221e+01, 5.88725947687539526e-05
  16, 3.75598746642466885e+00, 3.75598746642466796e+00,-2.36470016910249131e-16, 1.41099859128357235e+01, 9.01634129817591449e-05
