"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.91811891004498193e+03, 5.91811891004498011e+03,-3.07359387534176946e-16, 3.50241314334320202e+07, 2.18663392401023345e-16
   1, 1.30574552954945791e+01, 1.30574552954945879e+01, 6.80207896255702688e-16, 1.70497138794293448e+02, 1.33146935949189732e-12
   2, 1.00014690878652726e+01, 1.00014690878652726e+01, 0.00000000000000000e+00, 1.00029383911868550e+02,-1.82749165616432991e-11
   3, 7.89380417126353695e+00, 7.89380417126353429e+00,-3.37547676796987445e-16, 6.23121442968934431e+01, 2.11501928687612756e-11
   4, 6.99044854651725167e+00, 6.99044854651724279e+00,-1.27055998451290983e-15, 4.88663708823056453e+01, 8.19058974881963975e-12
   5, 6.31430358297759220e+00, 6.31430358297759220e+00, 0.00000000000000000e+00, 3.98704297409684472e+01, 3.71802937974943846e-11
   6, 5.85157554700415972e+00, 5.85157554700415972e+00, 0.00000000000000000e+00, 3.42409363845324606e+01, 3.26426467051840302e-11
   7, 5.56996561860772932e+00, 5.56996561860773287e+00, 6.37834041009491646e-16, 3.10245169929024023e+01, 6.93350899486487828e-12
   8, 5.11344635099360278e+00, 5.11344635099360190e+00,-1.73694678448624325e-16, 2.61473335899699499e+01, 1.04793828339235994e-10
   9, 4.81815719193514802e+00, 4.81815719193514802e+00, 0.00000000000000000e+00, 2.32146387271410184e+01, 2.03455156724537751e-11
  10, 4.67140353853108081e+00, 4.67140353853108081e+00, 0.00000000000000000e+00, 2.18220110202047763e+01, 9.25838882926845912e-12
  11, 4.45659175965120191e+00, 4.45659175965120280e+00, 1.99295440911024595e-16, 1.98612101121917135e+01, 1.80572568434813104e-14
  12, 4.34470605341950655e+00, 4.34470605341950389e+00,-6.13283206352533275e-16, 1.88764706904072312e+01,-5.63857740523020465e-12
  13, 4.08679617361044123e+00, 4.08679617361044123e+00, 0.00000000000000000e+00, 1.67019029636065390e+01,-3.08469239234862993e-11
  14, 4.02008761203738807e+00, 4.02008761203738985e+00, 4.41870180660065125e-16, 1.61611044081728252e+01,-8.77551233708874685e-12
  15, 3.85618999461555267e+00, 3.85618999461555267e+00, 0.00000000000000000e+00, 1.48702012741773348e+01,-1.33071946024220044e-11
  16, 3.75597096441843803e+00, 3.75597096441843803e+00, 0.00000000000000000e+00, 1.41073178855266708e+01,-9.81785159802159312e-13
  17, 3.64315806498041050e+00, 3.64315806498041050e+00, 0.00000000000000000e+00, 1.32726006864311099e+01,-2.63347025335907749e-14
  18, 3.52530075045950486e+00, 3.52530075045950708e+00, 6.29860033632843760e-16, 1.24277453812214080e+01, 1.24961813338838060e-12
  19, 3.47697258661072128e+00, 3.47697258661072084e+00,-1.27722954031958965e-16, 1.20893383680572537e+01, 6.12274592573820171e-13
  20, 3.44613720584878980e+00, 3.44613720584878980e+00, 0.00000000000000000e+00, 1.18758616415258444e+01,-3.98277545814235007e-13
  21, 3.37899205591037699e+00, 3.37899205591037743e+00, 1.31426532676595750e-16, 1.14175873138945185e+01,-4.78110217251511158e-13
  22, 3.33480662443402798e+00, 3.33480662443402887e+00, 2.66335808856941997e-16, 1.11209352221226183e+01,-1.10808041825471655e-11
  23, 3.19135549121108264e+00, 3.19135549121108308e+00, 1.39153789376668870e-16, 1.01847498704126291e+01,-4.27355330972979722e-11
  24, 3.15582817870783661e+00, 3.15582817870783616e+00,-1.40720338593305890e-16, 9.95925149352429173e+00,-1.06904100625027527e-13
  25, 3.06999504336654772e+00, 3.06999504336654772e+00, 0.00000000000000000e+00, 9.42486956596110481e+00,-1.77225995448662088e-11
  26, 2.99759649141307616e+00, 2.99759649141307527e+00,-2.96296857246932261e-16, 8.98558472510040929e+00,-1.28859216034434182e-11
  27, 2.97460702466588067e+00, 2.97460702466587978e+00,-2.98586809059219799e-16, 8.84828695110365260e+00,-4.96992407606214145e-12
  28, 2.92952286237881765e+00, 2.92952286237881721e+00,-1.51590969148284900e-16, 8.58210420115089967e+00,-2.87116663432621252e-12
  29, 2.89879484346039806e+00, 2.89879484346039984e+00, 6.12791499683967958e-16, 8.40301154268632366e+00,-1.06287492053147016e-10
  30, 2.85819746658856699e+00, 2.85819746658856699e+00, 0.00000000000000000e+00, 8.16929275721715342e+00,-4.87281538788652230e-11
  31, 2.80275826953371521e+00, 2.80275826953371388e+00,-4.75341610452845943e-16, 7.85545391744239652e+00, 1.76357307887503339e-13
  32, 2.76279022036731714e+00, 2.76279022036731714e+00, 0.00000000000000000e+00, 7.63300980164281917e+00,-7.49832881790251519e-12
  33, 2.72975152792181541e+00, 2.72975152792181541e+00, 0.00000000000000000e+00, 7.45154340374445656e+00,-2.99957475028610043e-11
  34, 2.68143283765423712e+00, 2.68143283765423668e+00,-1.65616383753456000e-16, 7.19008206283116102e+00,-1.34166414723773839e-12
  35, 2.65621777692107264e+00, 2.65621777692107264e+00, 0.00000000000000000e+00, 7.05549287842854955e+00,-2.10874645894311574e-13
  36, 2.60773362724353985e+00, 2.60773362724354074e+00, 3.40593997186345682e-16, 6.80027467062936353e+00,-2.01357549656356353e-12
  37, 2.57698111205182023e+00, 2.57698111205181934e+00,-3.44658490334431659e-16, 6.64083165187576707e+00, 2.95972365204541241e-13
  38, 2.54990010270008272e+00, 2.54990010270008360e+00, 3.48318908164141556e-16, 6.50199053374803526e+00,-1.42811602735257423e-13
  39, 2.53442886260100941e+00, 2.53442886260101075e+00, 5.25667794117101779e-16, 6.42332965952943358e+00,-4.32896001357935029e-12
  40, 2.50320060247840415e+00, 2.50320060247840459e+00, 1.77408558231558633e-16, 6.26601325595144054e+00,-2.36837160332607461e-11
  41, 2.48208310938910248e+00, 2.48208310938910293e+00, 1.78917945241311096e-16, 6.16073656173256090e+00,-1.47802438081733238e-11
  42, 2.46430481826371794e+00, 2.46430481826371839e+00, 1.80208717103006672e-16, 6.07279823726758661e+00,-4.13230581700075714e-12
  43, 2.43822756679789743e+00, 2.43822756679789654e+00,-3.64272158921803205e-16, 5.94495366748026655e+00,-1.08737738473232891e-12
  44, 2.40948992223059744e+00, 2.40948992223059832e+00, 3.68616781296968275e-16, 5.80564168529983871e+00,-2.66738608473722613e-12
  45, 2.38129113019762251e+00, 2.38129113019762251e+00, 0.00000000000000000e+00, 5.67054744674424871e+00,-1.20108676380249913e-12
  46, 2.35739768034266195e+00, 2.35739768034266239e+00, 1.88381117684612116e-16, 5.55732382325857976e+00,-2.37376903191234195e-12
  47, 2.32674557989867337e+00, 2.32674557989867337e+00, 0.00000000000000000e+00, 5.41374499357606620e+00,-1.79875994093428610e-13
  48, 2.31101874093089821e+00, 2.31101874093089910e+00, 3.84323330646102564e-16, 5.34080762093108508e+00,-2.57351571994514969e-13
  49, 2.27764515144589330e+00, 2.27764515144589375e+00, 1.94977347357267736e-16, 5.18766743598194502e+00, 7.41747495719461160e-12
  50, 2.25590812975979693e+00, 2.25590812975979693e+00, 0.00000000000000000e+00, 5.08912149000852221e+00, 9.05631921184981197e-12
  51, 2.22787065864892497e+00, 2.22787065864892675e+00, 7.97333917255999237e-16, 4.96340767167972619e+00, 1.10119980027210938e-12
  52, 2.22021027851293251e+00, 2.22021027851293340e+00, 4.00042477190500800e-16, 4.92933368087593315e+00, 6.23408831328567933e-12
  53, 2.20983355420640404e+00, 2.20983355420640448e+00, 2.00960479129634739e-16, 4.88336433731506858e+00, 1.90038316339032671e-12
  54, 2.18846743083035955e+00, 2.18846743083035999e+00, 2.02922466925433753e-16, 4.78938969598820830e+00, 1.91019884158918645e-11
  55, 2.16990477974894436e+00, 2.16990477974894391e+00,-2.04658385932235819e-16, 4.70848675321366716e+00, 3.86031084475234466e-12
  56, 2.16373066685736992e+00, 2.16373066685736992e+00, 0.00000000000000000e+00, 4.68173039870494367e+00, 6.30635743019718769e-13
  57, 2.12444127873815347e+00, 2.12444127873815303e+00,-2.09038119478565509e-16, 4.51325074681454552e+00, 8.80167148322418994e-13
  58, 2.10074476809973243e+00, 2.10074476809973154e+00,-4.22792160755227521e-16, 4.41312858090807847e+00, 2.37563763799097730e-11
  59, 2.09027688647431287e+00, 2.09027688647431287e+00, 0.00000000000000000e+00, 4.36925746212781885e+00,-1.06264710153355035e-13
  60, 2.08756747970663570e+00, 2.08756747970663481e+00,-4.25460938788402799e-16, 4.35793798240264785e+00, 8.48256680567086761e-12
