"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.91845358696556184e+05, 5.91845358696556883e+05, 1.18019330674472898e-15, 3.50280928610653931e+11,-1.88775223340394272e-15
   1, 1.30572737756628907e+01, 1.30572737756629191e+01, 2.17669552762066492e-15, 1.70492461095811080e+02, 1.83712564469559974e-07
   2, 1.00014678638781120e+01, 1.00014678638781067e+01,-5.32828839799359357e-16, 1.00029393929964556e+02, 1.72438247989311931e-07
   3, 7.89381023233060475e+00, 7.89381023233060564e+00, 1.12515805873115772e-16, 6.23121854241509538e+01,-4.37794471513453926e-07
   4, 6.99050271678912516e+00, 6.99050271678912249e+00,-3.81165041635839452e-16, 4.88671538396444021e+01, 2.61998257658602671e-07
   5, 6.31418359595033607e+00, 6.31418359595033252e+00,-5.62656062310109084e-16, 3.98689157321132868e+01, 1.56606340591501229e-08
   6, 5.85158952454616266e+00, 5.85158952454617243e+00, 1.66962541984848398e-15, 3.42411085914685316e+01, 1.25984410712470911e-07
   7, 5.56990260925788050e+00, 5.56990260925788672e+00, 1.11622219885263791e-15, 3.10238111316937228e+01,-6.35789656790132755e-08
   8, 5.11346263362877540e+00, 5.11346263362877274e+00,-5.21082376074680493e-16, 2.61474374288359748e+01,-1.19852221175514313e-06
   9, 4.81815787487084357e+00, 4.81815787487084712e+00, 7.37359333393726877e-16, 2.32146980108305847e+01, 1.13513732497103104e-06
  10, 4.67140393033206713e+00, 4.67140393033206713e+00, 0.00000000000000000e+00, 2.18220286153732630e+01, 3.19288786075767202e-07
  11, 4.45659409713111287e+00, 4.45659409713111465e+00, 3.98590672761461968e-16, 1.98612309053077141e+01,-1.03911397034867640e-09
  12, 4.34470112184138202e+00, 4.34470112184138291e+00, 2.04427967492432540e-16, 1.88764250916267464e+01,-7.27495461661199260e-08
  13, 4.08678913199136407e+00, 4.08678913199136229e+00,-4.34658305586392595e-16, 1.67018468155817708e+01, 4.20977137480803723e-08
  14, 4.02007071136605543e+00, 4.02007071136605365e+00,-4.41872038314626752e-16, 1.61609695143016623e+01, 3.06268297816559205e-08
  15, 3.85615444595911594e+00, 3.85615444595911727e+00, 3.45491252547282681e-16, 1.48699328388474878e+01, 1.92595317955199229e-07
  16, 3.75598732241007216e+00, 3.75598732241007482e+00, 7.09410077931425556e-16, 1.41074486165177095e+01, 2.78236554886419126e-07
  17, 3.64316839436384887e+00, 3.64316839436384932e+00, 1.21896426895086513e-16, 1.32726760064719045e+01, 2.13898990610861619e-09
  18, 3.52529825728516721e+00, 3.52529825728516588e+00,-3.77916287450857385e-16, 1.24277290659771573e+01, 5.08202025442941066e-08
  19, 3.47697351639226104e+00, 3.47697351639226016e+00,-2.55445839754829982e-16, 1.20893466631064754e+01, 7.56622160512546369e-08
  20, 3.44613749349505438e+00, 3.44613749349505527e+00, 2.57731567987828421e-16, 1.18758658889832400e+01, 9.53577284038584065e-08
  21, 3.37899216421041926e+00, 3.37899216421042015e+00, 2.62853056928490671e-16, 1.14175883288699112e+01, 1.23964227522877171e-08
  22, 3.33479440315839293e+00, 3.33479440315839293e+00, 0.00000000000000000e+00, 1.11208579794830609e+01, 1.91898311947394651e-07
  23, 3.19137378920637715e+00, 3.19137378920637804e+00, 2.78305983054713005e-16, 1.01848737416278361e+01, 3.47534895192772499e-07
  24, 3.15583004795240507e+00, 3.15583004795240685e+00, 5.62881020970315809e-16, 9.95926327741157635e+00,-7.10278588165924964e-10
  25, 3.07000095295067288e+00, 3.07000095295067377e+00, 2.89308841694811032e-16, 9.42490794801705611e+00, 1.11242432179924789e-07
  26, 2.99760087241319306e+00, 2.99760087241319351e+00, 1.48148212104219325e-16, 8.98561248813189373e+00, 8.33465580009489165e-08
  27, 2.97461388354232037e+00, 2.97461388354231993e+00,-1.49293060288288162e-16, 8.84832830478602261e+00, 3.10015239115725028e-08
  28, 2.92952272068733111e+00, 2.92952272068733022e+00,-3.03181952960494140e-16, 8.58210367166348576e+00, 1.75155301413567658e-08
  29, 2.89881081733492696e+00, 2.89881081733492696e+00, 0.00000000000000000e+00, 8.40311559242949357e+00, 6.80565622160217277e-07
  30, 2.85819760131274059e+00, 2.85819760131274148e+00, 3.10747731119847723e-16, 8.16929873233511827e+00, 3.18521079425257510e-07
  31, 2.80276530506429822e+00, 2.80276530506429999e+00, 6.33787222993863582e-16, 7.85549342348707302e+00, 4.34185996580892807e-09
  32, 2.76276474153414986e+00, 2.76276474153414897e+00,-3.21481741223801801e-16, 7.63286983400565422e+00, 5.35146989065742164e-08
  33, 2.72974784120510661e+00, 2.72974784120510749e+00, 3.25370133568095262e-16, 7.45152647011048419e+00, 2.14288145093176173e-07
  34, 2.68143754961563241e+00, 2.68143754961563330e+00, 3.31232185447481389e-16, 7.19010744621411657e+00, 7.90846532198055184e-09
  35, 2.65621630998101876e+00, 2.65621630998101876e+00, 0.00000000000000000e+00, 7.05548511168892034e+00, 1.86236243405081951e-09
  36, 2.60773444144510425e+00, 2.60773444144510380e+00,-1.70296945422082847e-16, 6.80027913082057722e+00, 1.57141764571035434e-08
  37, 2.57698204182275070e+00, 2.57698204182275070e+00, 0.00000000000000000e+00, 6.64083643501056198e+00,-6.67565851649334187e-10
  38, 2.54989928895177398e+00, 2.54989928895177176e+00,-8.70797548307527757e-16, 6.50198641827099344e+00, 2.65105375738301091e-09
  39, 2.53442454612912771e+00, 2.53442454612912815e+00, 1.75222896467100617e-16, 6.42330816674076566e+00, 3.01027864532180626e-08
  40, 2.50319499186196337e+00, 2.50319499186196293e+00,-1.77408955871924959e-16, 6.26598781988123665e+00, 2.11666487411138244e-07
