"IDX","GSVD","GESV","RESV","GEEV","REEV"
   0, 5.88855427324547946e+01, 5.88855427324548089e+01, 2.41330113569110138e-16, 3.46750714289573625e+03,-3.37873942693705810e-15
   1, 1.27620843334114866e+01, 1.27620843334114582e+01,-2.22704290991050678e-15, 1.62870796533107523e+02, 1.88491235545220932e-15
   2, 9.88271787125514933e+00, 9.88271787125514223e+00,-7.18975027939210090e-16, 9.76681125228261351e+01, 1.15034249160146810e-15
   3, 7.83229910775273641e+00, 7.83229910775273641e+00, 0.00000000000000000e+00, 6.13449093133042993e+01,-9.44626287026965511e-17
   4, 6.94370700438398369e+00, 6.94370700438398458e+00, 1.27911275510237440e-16, 4.82150669627312496e+01, 5.50055958700518133e-16
   5, 6.29845093658459376e+00, 6.29845093658459643e+00, 4.23046124503948279e-16, 3.96704842005629317e+01,-5.22652004013618132e-15
   6, 5.82845815979630189e+00, 5.82845815979630011e+00,-3.04773027565549541e-16, 3.39709245204961050e+01, 1.66077489630445941e-16
   7, 5.55850518083647582e+00, 5.55850518083647938e+00, 6.39149117113149501e-16, 3.08969798453859426e+01,-3.82303549054496161e-18
   8, 5.09641260814387920e+00, 5.09641260814388186e+00, 5.22825654822874177e-16, 2.59734214724478960e+01,-2.23800695342473809e-17
   9, 4.80580191866543593e+00, 4.80580191866543860e+00, 5.54441340736805313e-16, 2.30957320814481655e+01,-4.75913532353151670e-15
  10, 4.66160032762149701e+00, 4.66160032762149346e+00,-7.62123182836914978e-16, 2.17305176144807746e+01,-1.69524031221365536e-15
  11, 4.44688341327805503e+00, 4.44688341327805414e+00,-1.99730538706747325e-16, 1.97747720912874918e+01, 1.67644919939891920e-16
  12, 4.33676034040343961e+00, 4.33676034040343783e+00,-4.09604566535719555e-16, 1.88074902500961549e+01,-6.46007202104674884e-17
  13, 4.08095129115605815e+00, 4.08095129115605904e+00, 2.17640044277156929e-16, 1.66541634407882384e+01,-1.79149212227749585e-15
  14, 4.01573616487781582e+00, 4.01573616487781315e+00,-6.63523486030972299e-16, 1.61261369459075787e+01,-2.97851200272366797e-16
  15, 3.85367801158235057e+00, 3.85367801158235102e+00, 1.15237756894929601e-16, 1.48508342169532366e+01,-2.11181067090996234e-15
  16, 3.74921008858314453e+00, 3.74921008858314542e+00, 2.36897479392992544e-16, 1.40565762883336269e+01,-1.24926405148648412e-16
  17, 3.63750304961698934e+00, 3.63750304961698934e+00, 0.00000000000000000e+00, 1.32314284359729015e+01, 1.48733039310367878e-16
